Materials,Predictions,Experiments,First ionization energy difference,Pauling electronegativity difference,Average lattice size,Lattice size difference,Fermi level difference
(CaScCeTbYb)B6,Single,--,5.582400659,10.52811013,4.1154,0.671742504,23.38192827
(CaScCeDyYb)B6,Single,--,5.582400659,10.51582806,4.115,0.678525347,23.34902656
(CaScCeHoYb)B6,Single,--,5.479336149,10.58764647,4.1142,0.693536753,23.30308888
(CaScCeErYb)B6,Single,--,5.428520785,10.66953587,4.1136,0.706000547,23.30822673
(CaScPrNdSm)B6,Single,--,7.093898317,9.979169744,4.1238,0.677667723,11.99745603
(CaScPrNdEu)B6,Single,--,7.041515832,10.02513839,4.1308,0.730178852,17.55191544
(CaScPrNdGd)B6,Single,--,6.903265748,10.02513839,4.1206,0.708634665,12.23906387
(CaScPrNdTb)B6,Single,--,6.775484697,10.28928654,4.1194,0.728520289,12.22673554
(CaScPrNdDy)B6,Single,--,6.775484697,10.11295689,4.119,0.736059998,12.16617447
(CaScPrNdHo)B6,Single,--,6.790980402,10.17328229,4.1182,0.752426998,12.08104332
(CaScPrNdYb)B6,Single,--,7.06892791,10.28928654,4.125,0.674967605,18.24280836
(CaScPrSmEu)B6,Single,--,6.718288076,9.912311079,4.1278,0.737425459,17.10948365
(CaScPrSmGd)B6,Single,--,6.487559732,9.912311079,4.1176,0.690440113,11.99397786
(CaScPrSmTb)B6,Single,--,6.390950924,10.26216438,4.1164,0.707858589,11.97997459
(CaScPrSmDy)B6,Single,--,6.390950924,9.983442259,4.116,0.714632708,11.91084219
(CaScPrSmYb)B6,Single,--,6.644376996,10.26216438,4.122,0.667570774,17.80686049
(CaScPrEuGd)B6,Single,--,6.404627657,9.905570218,4.1246,0.775772194,17.54692339
(CaScPrEuTb)B6,Single,--,6.315854882,10.33964045,4.1234,0.797527648,17.5267459
(CaScPrEuDy)B6,Single,--,6.315854882,9.958672737,4.123,0.80558949,17.42510397
(CaScPrEuHo)B6,Single,--,6.313511893,10.0019401,4.1222,0.82285929,17.27335916
(CaScPrEuEr)B6,Single,--,6.362261322,10.05602126,4.1216,0.836768703,17.29102874
(CaScPrEuYb)B6,Single,--,6.558989101,10.33964045,4.129,0.731075067,19.56114519
(CaScPrGdTb)B6,Single,--,5.827203813,10.33964045,4.1132,0.718483537,12.22364813
(CaScPrGdYb)B6,Single,--,5.818859449,10.33964045,4.1188,0.694122282,18.23789353
(CaScPrTbYb)B6,Single,--,5.946362299,10.49195892,4.1176,0.712635591,18.21802749
(CaScPrDyYb)B6,Single,--,5.946362299,10.44680957,4.1172,0.719755283,18.1179356
(CaScPrHoYb)B6,Single,--,5.857398515,10.51625,4.1164,0.735338076,17.96843518
(CaScPrErYb)B6,Single,--,5.818095874,10.59584577,4.1158,0.748146334,17.9858484
(CaScNdSmEu)B6,Single,--,6.52654107,9.839542813,4.1258,0.718091393,16.95049945
(CaScNdSmGd)B6,Single,--,6.251622903,9.839542813,4.1156,0.651362174,11.88962469
(CaScNdSmTb)B6,Single,--,6.168363567,10.217957,4.1144,0.667672362,11.87505736
(CaScNdSmDy)B6,Single,--,6.168363567,9.905570218,4.114,0.674148155,11.80304096
(CaScNdSmHo)B6,Single,--,6.162979119,9.955372987,4.1132,0.688574085,11.70022774
(CaScNdSmYb)B6,Single,--,6.405888325,10.217957,4.12,0.635347699,17.65072391
(CaScNdEuGd)B6,Single,--,6.163737719,9.824662201,4.1226,0.752437626,17.40173487
(CaScNdEuTb)B6,Single,--,6.088626925,10.28719579,4.1214,0.773030825,17.38096372
(CaScNdEuDy)B6,Single,--,6.088626925,9.872729187,4.121,0.780745549,17.27627461
(CaScNdEuHo)B6,Single,--,6.079544725,9.913617846,4.1202,0.797379125,17.11978943
(CaScNdEuEr)B6,Single,--,6.123166652,9.965419924,4.1196,0.810860068,17.13802366
(CaScNdEuYb)B6,Single,--,6.315585033,10.28719579,4.127,0.713551241,19.31347308
(CaScNdGdTb)B6,Single,--,5.54080837,10.28719579,4.1112,0.673272898,12.13047604
(CaScNdGdYb)B6,Single,--,5.50626643,10.28719579,4.1168,0.657448641,18.09505938
(CaScNdTbYb)B6,Single,--,5.657122113,10.46767291,4.1156,0.674866574,18.07462066
(CaScNdDyYb)B6,Single,--,5.657122113,10.3891522,4.1152,0.681687581,17.97158974
(CaScNdHoYb)B6,Single,--,5.557139471,10.45608964,4.1144,0.696766282,17.81751837
(CaScNdErYb)B6,Single,--,5.50885557,10.53325788,4.1138,0.709273031,17.835476
(CaScSmEuGd)B6,Single,--,5.661740597,9.651998665,4.1196,0.74019997,16.94485629
(CaScSmEuTb)B6,Single,--,5.623109387,10.19970411,4.1184,0.758353604,16.9220367
(CaScSmEuDy)B6,Single,--,5.623109387,9.683939691,4.118,0.765300528,16.80682308
(CaScSmEuYb)B6,Single,--,5.805554293,10.19970411,4.124,0.711595764,18.48875645
(CaScSmGdTb)B6,Single,--,4.92274693,10.19970411,4.1082,0.627880168,11.87141472
(CaScSmTbDy)B6,Single,--,4.994183223,10.28486082,4.1066,0.640687045,11.78420254
(CaScSmTbYb)B6,Single,--,5.030215397,10.46538524,4.1126,0.64196652,17.62276803
(CaScSmDyYb)B6,Single,--,5.030215397,10.28486082,4.1122,0.648043076,17.50959437
(CaScSmHoYb)B6,Single,--,4.900665197,10.34360578,4.1114,0.661753951,17.33971789
(CaScSmErYb)B6,Single,--,4.827731042,10.41274739,4.1108,0.67333841,17.35955993
(CaScEuGdYb)B6,Single,--,4.665316363,10.21612938,4.1208,0.741701397,19.3045896
(CaScEuTbYb)B6,Single,--,4.896365158,10.56605837,4.1196,0.760925555,19.26859921
(CaScEuDyYb)B6,Single,--,4.896365158,10.28314045,4.1192,0.768214041,19.08516157
(CaYLaCePr)B6,Single,--,5.445187144,6.311811789,4.1396,0.505474602,20.13798238
(CaYLaCeNd)B6,Single,--,5.267425698,6.351270662,4.1376,0.504794064,20.19929365
(CaYLaCeSm)B6,Single,--,4.94065051,6.583310272,4.1346,0.537476687,20.44141475
(CaYLaCeEu)B6,Single,--,4.883567087,6.966979682,4.1416,0.524257995,27.40495084
(CaYLaCeGd)B6,Single,--,5.021087567,6.966979682,4.1314,0.609770592,20.20158578
(CaYLaCeTb)B6,Single,--,4.690518031,6.315110355,4.1302,0.644491559,20.21093907
(CaYLaCeDy)B6,Single,--,4.690518031,7.293204043,4.1298,0.656808957,20.26030419
(CaYLaCeHo)B6,Single,--,4.772975362,7.474292804,4.129,0.682441405,20.34164107
(CaYLaCeEr)B6,Single,--,4.924510728,7.666035583,4.1284,0.702468018,20.33166033
(CaYLaCeTm)B6,Single,--,5.109871658,7.867497113,4.127,0.751541673,20.35845824
(CaYLaCeYb)B6,Single,--,5.315785256,6.315110355,4.1358,0.519800447,27.98371352
(CaYLaCeLu)B6,Single,--,5.622069101,8.296125592,4.1258,0.79585406,20.38268561
(CaYLaPrNd)B6,Single,--,5.485297066,6.360067562,4.1398,0.504016672,19.39281488
(CaYLaPrSm)B6,Single,--,5.186920748,6.576412318,4.1368,0.543850317,19.54409272
(CaYLaPrEu)B6,Single,--,5.135947679,6.94563429,4.1438,0.513607243,25.99974128
(CaYLaPrGd)B6,Single,--,5.328128211,6.94563429,4.1336,0.621992891,19.39411572
(CaYLaPrTb)B6,Single,--,4.988667967,6.344798869,4.1324,0.658391055,19.39945569
(CaYLaPrDy)B6,Single,--,4.988667967,7.26323114,4.132,0.671211401,19.42843528
(CaYLaPrHo)B6,Single,--,5.077429812,7.440333313,4.1312,0.697772483,19.47875417
(CaYLaPrEr)B6,Single,--,5.231570923,7.628307351,4.1306,0.718432654,19.47242477
(CaYLaPrTm)B6,Single,--,5.416354377,7.826213341,4.1292,0.768798699,19.48950935
(CaYLaPrYb)B6,Single,--,5.619871809,6.344798869,4.138,0.523466044,26.58184733
(CaYLaPrLu)B6,Single,--,5.816080928,8.248339939,4.128,0.814040001,19.50519537
(CaYLaNdSm)B6,Single,--,4.989368072,6.588716515,4.1348,0.537189432,19.57292195
(CaYLaNdEu)B6,Single,--,4.933582604,6.94236138,4.1418,0.522405846,25.99751834
(CaYLaNdGd)B6,Single,--,5.083116079,6.94236138,4.1316,0.61012526,19.42656292
(CaYLaNdTb)B6,Single,--,4.750440588,6.394384473,4.1304,0.645042191,19.43174522
(CaYLaNdDy)B6,Single,--,4.750440588,7.250443761,4.13,0.657419545,19.45991845
(CaYLaNdHo)B6,Single,--,4.834323804,7.423097393,4.1292,0.683164253,19.5089924
(CaYLaNdEr)B6,Single,--,4.986501366,7.606836277,4.1286,0.703268689,19.50281071
(CaYLaNdTm)B6,Single,--,5.171815299,7.800720648,4.1272,0.752504513,19.51950164
(CaYLaNdYb)B6,Single,--,5.377287037,6.394384473,4.136,0.519235191,26.57894229
(CaYLaNdLu)B6,Single,--,5.659846628,8.215429177,4.126,0.796936641,19.53483962
(CaYLaSmEu)B6,Single,--,4.549169149,7.038658838,4.1388,0.567133883,26.0204543
